Commodity name,HSCode,FY25 import value (mm$),Last 4 Years import value average annual growth (%),FY25 export value (mm$),Last 4 Years export value average annual growth (%),Import Value/ Export Value FY25 ratio,Import Value/ Export Value Last 4 years ratio,Last 4 Years import price average annual growth (%),FY25 import price ($/unit),Last 4 Years export price average annual growth (%),FY25 export price ($/unit),Unit
REACTIVE BLUES,32041650,19.72,0.5,121.09,-4.14,0.16,0.14,-1.22,10.77,-0.7,5.61,KGS
REACTIVE GREENS,32041660,0.04,-5.02,0.55,-9.95,0.07,0.49,-0.45,14.98,-0.58,3.55,KGS
REACTIVE BROWNS,32041670,0.07,5.05,1.57,-2.52,0.04,0.03,0.39,11.42,-0.42,6.25,KGS
REACTIVE BLACKS,32041680,1.57,0.45,196.98,-3.41,0.01,0.01,-1.58,4.42,-0.46,3.15,KGS
OTHER REACTIVE,32041690,5.07,0.2,32.5,9.41,0.16,0.17,-1.97,9.81,-0.65,3.79,KGS
PIGMENTS YELLOW 1(HANSA YELLOW),32041711,0.49,-4.63,1.8,-17.35,0.27,0.92,1.98,11.77,-1.31,5.51,KGS
OTHERS PIGMENT YELLOW (ORGANIC),32041719,24.59,1,80.99,14.5,0.3,0.32,-1.49,8.16,-0.73,9.11,KGS
PIGMENT ORANGES,32041720,3.88,-0.53,25.42,13.92,0.15,0.2,-1.17,18.42,-0.11,11.88,KGS
PIGMENT TOLUIDINE RED,32041731,0.18,-4.41,1.07,-17.96,0.17,0.46,1.85,7.26,-0.7,7.61,KGS
OTHERS PIGMENT RED,32041739,28.84,1.44,78.87,5.83,0.37,0.34,-1.38,11.43,0.14,11.95,KGS
PIGMENT VIOLETS,32041740,4,2.69,72.27,9.94,0.06,0.05,-0.42,24.36,-0.59,22.42,KGS
PIGMENT BLUE 15 (PATHALOCYANINE BLUE),32041751,1.68,-2.35,247.2,5.46,0.01,0.01,-1.76,7.46,-0.24,5.84,KGS
OTHERS PIGMENT BLUE,32041759,4.95,1.75,55.55,-13.51,0.09,0.06,-1.59,6.83,0.22,7.29,KGS
PIGMENT GREEN 7 (PATHALOVYANINE GREEN),32041761,0.69,-2.2,117.47,-9.57,0.01,0.01,0.45,8.78,-0.87,5.72,KGS
OTHERS PIGMENT GREEN,32041769,0.58,0,7.85,-9.07,0.07,0.06,-0.45,10.16,2.86,16.42,KGS
PIGMENT BROWNS,32041770,0.1,2.02,0.3,-29.91,0.33,0.13,8.12,16.58,-3.81,6.96,KGS
PIGMENT BLACKS,32041780,1.21,7.89,2.51,6.87,0.48,0.3,-1.05,7.24,0.29,2.19,KGS
OTHER PIGMENTS,32041790,22.93,0.55,35.49,15.14,0.65,0.73,-0.35,9.22,-1.53,2.96,KGS
CAROTENOID COLOURING MATTERS AND PREPARATION BASED THEREON,32041800,3.02,7.28,0.62,0,4.87,11.19,0.97,113.69,0.2,173.67,KGS
AZOIC COUPLNG COMPNT 2(NAPTHOL AS),32041911,1.41,-1.87,0.17,-5.26,8.29,10.53,-1.15,2.7,0.59,6.79,KGS
AZOIC COUPLNG COMPNT 4(NAPTHOL AS-BO),32041912,0,0,0.4,-5.56,0,0,0,0,-0.51,6.43,KGS
AZOIC COUPLNG COMPNT 5(NAPTHOL ASG),32041913,0,0,0.37,17.68,0,0,0,0,-1.04,6.45,KGS
AZOIC COUPLNG COMPNT 7(NAPTHOL ASSW),32041914,0,0,0.03,-5,0,0,0,0,0.07,12.9,KGS
AZOIC COUPLNG COMPNT 8(NAPTHOL ASTR),32041915,0,0,0,-50,0,0,0,0,-5.56,0,KGS
AZOIC COUPLNG COMPNT 13(NAPTHOL ASSG),32041916,0,0,0,-50,0,0,0,0,-5.56,0,KGS
AZOIC COUPLNG COMPNT 14(NAPTHOL ASPH),32041921,2.35,-2.05,0,-50,0,79.47,-1.64,4.85,-5.56,0,KGS
AZOIC COUPLNG COMPNT 15(NAPTHOL ASLB),32041922,0,0,0,-50,0,0,0,0,-5.56,0,KGS
AZOIC COUPLNG COMPNT 17(NAPTHOL ASBS),32041923,0,-5.56,0.42,-28.42,0,0.01,-5.56,0,-0.82,6,KGS
AZOIC COUPLNG COMPNT 18(NAPTHOL ASD),32041924,0.18,-2.85,0,-50,0,21.5,-1.42,4.39,-5.56,0,KGS
AZOIC COUPLNG COMPNT 20(NAPTHOL ASOL),32041925,0.11,-0.32,0.22,-20.8,0.5,0.34,-1.82,4.36,-1.15,6.67,KGS
OTHER AZOIC COUPLNG COMPNT(NAPTHOL OTHERS),32041929,1.71,-2.01,8.28,13.53,0.21,0.35,-0.83,6.62,-0.64,2.02,KGS
AZOIC DIAZO COMPNT 1(FST BORDEAUX GP BASE),32041931,0,0,3.2,-17.61,0,0,0,0,-1.82,5.49,KGS
AZOIC DIAZO COMPNT 2(FST ORNG G/GC BASE),32041932,0,0,0.05,-5.88,0,0,0,0,-1.06,4.9,KGS
AZOIC DIAZO COMPNT 3(FST SCRLT GIGGS BASE),32041933,0,0,0.01,0,0,0,0,0,-1.41,1.96,KGS
AZOIC DIAZO COMPNT 4(FST GRMNT GBC BASE),32041934,0,0,0.1,0,0,0,0,0,1.2,4.07,KGS
AZOIC DIAZO COMPNT 5 (FST RED B BASE),32041935,0.03,-4.56,4.52,-27.68,0.01,0.02,-27.5,150,-2.13,5,KGS
AZOIC DIAZO COMPNT 6 (FST ORANG GR BSE),32041936,0,0,0.07,-17.19,0,0,0,0,-1.91,5.2,KGS
AZOIC DIAZO COMPNT 10(FST RED R BASE),32041937,0,0,0.23,-15.15,0,0,0,0,-0.17,6.46,KGS
AZOIC DIAZO COMPNT 11(FST RED TR BASE),32041938,0,0,0,-50,0,0,0,0,-5.56,0,KGS
AZOIC DIAZO COMPNT 12 (FST SCRLT G BSE,32041941,0.97,4.13,0,-50,0,88,-0.69,5.33,-5.56,0,KGS
AZOIC DIAZO COMPNT 13(FST SCRLT R BASE),32041942,0,0,0.24,-18.42,0,0,0,0,-2.07,2.59,KGS
AZOIC DIAZO COMPNT 20(FST BLUE BB BASE),32041943,0,0,1.3,-18.4,0,0,0,0,-0.6,30.76,KGS
AZOIC DIAZO COMPNT 24(FST BLUE RR BASE),32041944,0,0,0,0,0,0,0,0,0,0,KGS
AZOIC DIAZO COMPNT 32(FST RED KB BASE),32041945,0,0,0,0,0,0,0,0,0,0,KGS
AZOIC DIAZO COMPNT 41(FST VIOLET B BASE),32041946,0,0,0,-50,0,0,0,0,-5.56,0,KGS
AZOIC DIAZO COMPNT 48(FST BLUE B BASE,32041947,0,0,2.09,2.51,0,0,0,0,-0.93,6.76,KGS
OTHR AZOIC DIAZO COMPNT(OTHR FST COLR BSE),32041949,0.58,-1.04,4.03,4.36,0.14,0.18,-2.03,10.24,-1.06,7.65,KGS
AZOIC YELLOWS,32041951,1.46,5.16,0.06,-44.34,24.33,2.26,1.02,28.81,-2.72,4.29,KGS
AZOIC ORANGES,32041952,0.14,1.11,0.45,13.08,0.31,0.32,3.55,19.8,-0.8,5.56,KGS
AZOIC REDS,32041953,0.71,1.32,0.14,-30.56,5.07,1.99,-0.6,13.44,-1.28,7.41,KGS
AZOIC VIOLETS,32041954,6.58,-0.86,0,-50,0,374.13,0.57,4.12,-5.56,0,KGS
AZOIC BLUES,32041955,1.66,2.09,0.02,100,83,132,-0.15,11.85,0.31,7.97,KGS
AZOIC GREENS,32041956,0.11,3.61,0.01,-44.23,11,1.15,1.32,19.15,-1.67,4.28,KGS
AZOIC BROWNS,32041957,0.02,1.11,0.03,-21.88,0.67,0.37,1.29,16.69,-0.91,22.64,KGS
AZOIC BLACKS,32041958,0.2,-2.26,0,0,0,0,29.69,7.36,0,0,KGS
OTHER AZOIC COLOURS,32041959,0.44,-0.88,0.01,-39.29,44,13.4,-0.97,13.87,-3.79,4.71,KGS
SULPHUR YELLOWS,32041961,0.36,1.42,0.01,-33.33,36,12.2,-0.56,1.98,-3.51,2.19,KGS
SULPHUR ORANGES,32041962,0,-5.56,0,-50,0,0.22,-5.56,0,-5.56,0,KGS
SULPHUR REDS,32041963,0.15,13.68,0.01,0,15,28,-0.45,5.85,4.27,8.26,KGS
SULPHUR BLUES,32041964,3.94,0.83,0.23,-11.67,17.13,12.59,-0.75,4.83,-0.73,7.21,KGS
SULPHUR GREENS,32041965,0.28,3.25,0.07,160,4,6.75,-0.53,7.87,0.43,3.93,KGS
SULPHUR BROWNS,32041966,0.28,8.59,0.29,70.83,0.97,0.94,1.91,3.2,0.06,4.7,KGS
SULPHUR BLACKS,32041967,4.3,1.51,4.58,-12.72,0.94,0.63,-1.11,1.34,-1.4,1.26,KGS
OTHER SULPHURS,32041969,3.54,1.8,0.04,-20,88.5,48.17,0.81,9.49,-0.47,2.32,KGS
SOLVENT BASED COLOURING MATTERS: YELLOWS,32041971,0.72,0.63,23.95,-6.1,0.03,0.03,-1.04,17.41,-1.05,10.01,KGS
SOLVENT BASED COLOURING MATTERS: ORANGES,32041972,0.48,-0.62,4.9,-4.06,0.1,0.1,0.41,64.83,-0.3,11.17,KGS
SOLVENT BASED COLOURING MATTERS: REDS,32041973,0.96,-3.44,23.36,-4.27,0.04,0.09,-0.1,34.92,-0.86,8.75,KGS
SOLVENT BASED COLOURING MATTERS: VIOLETS,32041974,0.67,-1.87,2.49,-9.22,0.27,0.32,-1.82,15.69,-0.87,12.21,KGS
SOLVENT BASED COLOURING MATTERS: BLUES,32041975,2.51,-1.01,15.74,1.92,0.16,0.19,-1.34,15.34,-0.96,7.88,KGS
SOLVENT BASED COLOURING MATTERS: GREENS,32041976,4.12,1.35,10.1,8.05,0.41,0.39,-0.06,47.16,-0.16,11.71,KGS
SOLVENT BASED COLOURING MATTERS: BROWNS,32041977,0.05,11.11,0.72,-28.36,0.07,0.02,0.32,9.29,-0.64,6.19,KGS
SOLVENT BASED COLOURING MATTERS: BLACKS,32041978,0.47,1.38,4.35,-13.3,0.11,0.07,1.08,20.91,-0.44,11.04,KGS
OTHER SOLVENT BASED COLOURING MATTERS,32041979,3.31,-0.91,1.19,0.57,2.78,3.22,-1.71,7.94,-0.88,3.42,KGS
FOOD COLOURING YELLOW 3 (SUNSET YELLOW),32041981,0.01,-3.89,22.32,1.22,0,0,4.67,8.77,-0.39,4.38,KGS
FOOD COLOURING YELLOW 4 (TARTRAZINE),32041982,0.06,14.44,44.43,1.25,0,0,-1.13,3.53,-0.32,4.19,KGS
FOOD COLOURING REDS 5 TO 8 (PONCEAN),32041983,0,-5.56,12.73,-4.82,0,0,-5.56,0,-0.69,5.61,KGS
FOOD COLOURING RED 9 (AMARANTH),32041984,0,0,5.43,-2.84,0,0,0,0,-0.63,6.71,KGS
FOOD COLOURING ORANGES,32041985,0,0,0.43,25,0,0,0,0,1.4,4.75,KGS
FOOD COLOURING VIOLETS,32041986,0,0,0,-50,0,0,0,0,-5.56,0,KGS
FOOD COLOURING GREENS,32041987,0,0,1.12,2.5,0,0,0,0,-1.18,7.29,KGS
FOOD COLOURING BROWNS,32041988,0,0,4.78,-2.77,0,0,0,0,-0.44,8.06,KGS
OTHER FOOD COLOURING,32041989,0.01,-5.31,51.8,1.22,0,0,-2.66,6.67,-0.69,7.89,KGS
OTHR INCL MIXR OF COLRNG MATR OF TWO OR MORE OF SUB-HDNG 320411 TO 320419 N.E.S.,32041990,5.49,1.24,26.08,1.68,0.21,0.19,-1.12,13.48,-0.88,2.81,KGS
0PTICAL WHITENING AGENTS,32042010,5.97,-1.26,49.64,-9.61,0.12,0.12,-0.03,12.34,-0.41,3.49,KGS
0THER FLU0RESCENT/BRIGHTENING AGENTS,32042090,13.48,1.36,4.09,13.71,3.3,3.35,-2.37,5.08,3,9.77,KGS
OTHR SYNTHETIC ORGANIC COLORNG MATTER,32049000,8.2,-0.14,21.42,8.72,0.38,0.44,0.98,13.06,0.23,3.78,KGS
COLR LAKES,32050000,8.69,6.36,68.11,4.76,0.13,0.08,5.42,60.46,0.03,17.79,KGS
PEARSLNT PIGMNT (TITANIUM DIOXDE COTD MICANNEOUS AND LUSTRE PRL PGMNT),32061110,609.97,0.64,7.03,50.43,86.77,128.33,-0.48,2.64,-1,2.72,KGS
PEARLSNT PIGMNT COTD WTH OTHR PRL PIGMNT,32061190,561.21,1.28,20.39,3.68,27.52,24.94,-0.87,2.45,0.61,1.73,KGS
OTHR CLRNG MATR CNTNG <80% TITNIUM DIOXLDE,32061900,51.75,2.23,84.71,12.48,0.61,0.56,-0.67,3.47,-0.38,2.22,KGS
PIGMNTS AND PRPTNS BASD ON CHROM COMPND,32062000,1.81,4.21,51.41,8.74,0.04,0.03,2.33,5.13,-0.23,3.55,KGS
ULTRAMARIN AND PRPTNS BASD THEREON,32064100,2.02,-1.23,33.95,34.41,0.06,0.1,0.45,5.42,2.4,1.37,KGS
LITHOPHONE AND OTHR PIGMNTS AND PREPARATIONSBASD ON ZINC SULPHIDE,32064200,1.04,-2.4,0.08,10,13,23.36,-1.48,1.37,-1.22,2.44,KGS
RED OXIDE,32064910,0.09,-5.18,0.92,13.3,0.1,1.32,4.05,7.28,8.8,2.89,KGS
PERSIAN RED,32064920,0,-5.56,0,-50,0,1,-5.56,0,-5.56,0,KGS
YELLOW OCHER,32064930,0.65,26.31,0.07,25,9.29,4.71,3.55,20.27,96.34,2.11,KGS
BRONZE POWDER,32064940,3.05,-1.68,0.02,-35.71,152.5,70.26,0.08,15.06,45.46,7.99,KGS
OTHER PREPARATIONS,32064990,73.59,0.83,54.73,-4.5,1.34,1.13,-0.67,5.14,-0.03,1.49,KGS
INORGNC PRDCT A KIND USD AS LUMINOPHORS,32065000,6.72,-1.39,0.15,0,44.8,56,-1.85,168.3,0.84,2.07,KGS
PREPARD ORGANIC DYESTUFF PIGMENTS DRY,32071010,2.15,7.92,0.09,-20.65,23.89,8.75,-1.24,3.51,-2.26,2.03,KGS
PREPARD ORGANIC DYESTUFF PIGMNTS PASTE,32071020,0.06,-2.22,0.01,25,6,12,100.63,36.74,12.65,3.28,KGS
PREPARD INORGANIC PIGMENTS,32071030,2.09,2.19,2.48,46.62,0.84,1.04,-0.42,8.28,1.03,2.85,KGS
PREPARED OPACIFIERS&PREPARED COLOURS AND SIMILAR PREPARATIONS.,32071040,50.39,-0.04,1.88,13.09,26.8,31.89,0.19,4.87,-0.13,3.03,KGS
OTHER PREPRD PIGMNT OPACIFIER COLRS& SIMILAR PREPARATIONS.,32071090,85.18,0.38,11.09,2.99,7.68,7.64,-1.01,3.64,-0.65,1.52,KGS
VITRIFIABLE ENAMEL AND GLAZES,32072010,14.8,1.82,16.92,40.16,0.87,1.07,-0.22,3.94,-0.45,0.51,KGS
ENGOBS(SLIP) AND SIMLR PRPTNS,32072020,4.55,4.69,3.51,6.25,1.3,0.93,-0.87,4.2,0.27,0.4,KGS
LIQD LUSTRS AND SIMLR PRPTNS,32073000,4.83,-4.11,1.17,-9.75,4.13,10.97,-1.7,11.66,-2.91,3.85,KGS
GLAS FRIT AND OTHR GLAS IN PWDR GRANUL/FLKS,32074000,29.49,1.14,8.51,4.25,3.47,3.21,0.16,1.5,-0.25,0.6,KGS
ENAMELS BASED ON POLYESTERS,32081010,1.86,-1.47,2.45,66.3,0.76,1.68,0.61,4.97,-0.89,3.76,KGS
LACQUERS BASED ON POLYESTERS,32081020,8.78,1.93,3.91,13.61,2.25,2.16,-0.16,2.42,1.66,7.94,KGS
VARNISHES BASED ON POLYESTERS,32081030,4.21,-1.93,0.35,47.22,12.03,26.49,1.75,7.33,-1.51,1.41,KGS
OTHERS BASED ON POLYESTERS,32081090,29.69,-0.31,21.33,14.09,1.39,1.74,0.27,5.6,0.18,3.9,KGS
ENAMELS BASED ON ACRYLIC OR VINYL POLYMERS,32082010,15.57,-1.47,0.62,10,25.11,36.42,-1.93,6.81,-1.96,3.09,KGS
LACQUERS BASED ON ACRYLIC OR VINYL POLYMER,32082020,3.62,-0.6,0.62,-27.59,5.84,3.31,-1.88,14.27,0.08,4.24,KGS
VARNISHES BASED ON ACRYLIC OR VINYL POLYMR,32082030,0.85,-0.79,0.53,5.21,1.6,1.94,-1.17,6.55,-0.48,4.23,KGS
OTHR PAINT VRNSH BSD ON ACRYLC/VNYL PLYMR,32082090,50.14,1.03,10.67,4.2,4.7,4.4,0.27,5.46,-0.2,5.15,KGS
NITROCELLULOSE LACQUERS BASED ON CELLULOSEOR OYHER CELLULOSE DERIVATIVES,32089011,0.22,-1.81,1.05,-6.25,0.21,0.26,288.68,18.05,-0.24,3.31,KGS
OTHER PAINTANDVARNSH BASED ON CELLULOSE OR OYHER CELLULOSE DERIVATIVES,32089019,24.64,0.41,2.59,-0.76,9.51,8.92,-0.74,4.56,2.98,4,KGS
SYNTHTC ENAMEL&ULTRA WHITE PAINTS,32089021,0.03,-3.17,0.22,225,0.14,0.71,1.85,5.91,2.61,3.85,KGS
SYNTHETIC ENAMEL&OTHER COLOURS.,32089022,0.17,7.32,1.26,18.73,0.13,0.1,-0.44,6.75,-0.52,3.03,KGS
OTHR PAINTS VARNSHS (OTHER ENAMELS),32089029,3,-0.61,3.31,4.5,0.91,1.06,-1.88,1.67,-0.39,3.17,KGS
OTHR PAINTS VARNSHS (LACQUERS),32089030,2.08,2.88,0.6,7.32,3.47,2.85,1.19,6.67,-0.93,5.49,KGS
INSULATING VARNISH,32089041,5.64,1.71,1.96,5.89,2.88,2.57,-0.47,3.19,0.56,2.56,KGS
OTHER VARNISHES,32089049,1.99,1.43,0.91,29.36,2.19,2.56,0.11,11.52,-1.35,2.85,KGS
SLIP AGENTS,32089050,0.07,-0.25,0,0,0,0,-1.4,1.74,0,0,KGS
OTHR PAINT VARNSH(INCL ENML AND LACQR) BSD ON SYNTIC PLYMR/CHMLY MDFD NATRL PLYMR NES,32089090,127.81,1.12,33.15,12.93,3.86,3.98,-0.56,5.17,-0.44,3.79,KGS
ACRYLIC EMULSION,32091010,4.02,6.67,4.85,15.78,0.83,0.6,-0.49,3.28,1.88,3.39,KGS
OTHR PAINTS BSD ON ACRYLC/VNYL POLYMR,32091090,28.03,1.49,4.52,90.96,6.2,10.11,0.11,3.61,-1.43,1.61,KGS
DISPERSON PAINTS,32099010,2.86,-1.04,0.13,-42.86,22,4.69,-2.78,2.98,-2.98,4.6,KGS
EMULSION PAINTS NES,32099020,4.61,1.12,0.5,-2.83,9.22,7.71,-2.53,2.73,-0.54,1.48,KGS
OTHR PAINT VARNSHS (INCL ENML AND LAQURS) BSD ON OTHR SYNTHTIC POLYMERS ETC N.E.S.;,32099090,34.5,0.01,5.48,6.38,6.3,6.87,-0.32,2.89,-0.27,3.28,KGS
DRY DISTEMPR& INCL CEMENT BASE WATER PAINT,32100011,0.15,-4.59,0.03,-12.5,5,18.2,4.63,12.03,-0.27,0.7,KGS
OIL BOUND DISTEMPER,32100012,0,0,0,0,0,0,0,0,0,0,0
OTHER DISTEMPER,32100019,0.62,3.06,0.02,-34.21,31,8.67,1.82,10.78,-101.66,4.35,KGS
PREPRD WATR PIGMNT USD FOR FINSHNG LETHR,32100020,0.48,-1.18,0.05,-33.33,9.6,4.62,-1.22,3.46,-1.15,1.77,KGS
METALIC POWDER/FLAKS PREPRD AS PAINTS,32100030,0,-5.56,0.04,-31.25,0,0.11,-5.56,0,-2.67,0.05,KGS
POLY TETRA FLUORO ETHYLENE (PTFE) OR SILICON RESIN BASED COATING MATERIALS,32100040,0.09,-4.35,0,-50,0,66.5,-3.05,11.79,-5.56,0,KGS
OTHR PAINT VARNSH INCL ENML LAQURSANDDSTMPR PRPRD WATR PGMNT FOR FINSHNG LETHR N.E.S.,32100090,15.22,2.06,0.52,-4.91,29.27,21.57,0.95,6.47,2249.82,2.67,KGS
PREPARED DRIERS,32110000,5.58,1.81,23.75,8.06,0.23,0.21,0.17,8.75,-0.95,2.91,KGS
STAMPNG FOILS,32121000,47.84,1.59,3.85,1.56,12.43,10.6,-0.44,6.62,-0.45,9.32,KGS
PIGMNTS IN LINSEED OIL&WHTE SPRT&SPRT OF TRPNTN&VARNISH OR OTHR PNTS OR ENML MEDIA,32129010,0.84,-0.71,5.24,-0.63,0.16,0.18,5.53,10.03,-0.47,3.18,KGS
DYS IN FORM/PCKNG OF A KIND SOLD BY RETAIL,32129020,0.08,0,0.16,35.71,0.5,0.73,-2.15,17.04,-1.46,3.8,KGS
ALUMINIUM PASTE,32129030,14.41,0.5,9.75,16.15,1.48,1.7,-0.06,12.63,0.16,3.7,KGS
OTHR PIGMNTS DYS AND CLRNG MATR N.E.S.,32129090,25.67,0.52,48.15,-16.22,0.53,0.37,-1.33,13.34,-0.24,3.35,KGS
COLOURS IN SETS,32131000,1.01,0.21,3.95,6,0.26,0.27,0.04,3.03,-0.13,4.07,KGS
OTHER (OTHER THAN IN SETS),32139000,3.09,1.45,20.6,1.88,0.15,0.13,-0.01,4.13,-0.5,2.87,KGS
GLAZIERS PUTTY& GRFTNG PUTTY RESIN CEMNTS&CAULKNG CMPDS AND OTHR MASTICS;PAINTERS FILLINGS.,32141000,124.41,0.77,19.45,9.41,6.4,6.6,-1.02,3.43,-0.24,0.46,KGS
NON-REFRACTORY SURFACING PREPARATION FOR FACADES&ETC.,32149010,3.38,2.47,1.45,39.14,2.33,2.67,-2.06,1.51,-0.19,0.7,KGS
RESIN CEMENT,32149020,0.58,0.34,1.19,-21.98,0.49,0.29,0.14,3.46,5.89,3.8,KGS
OTHERS,32149090,41.62,1.37,7.62,26.56,5.46,6.29,-0.59,2.8,-1.58,0.79,KGS
BLACK LITHOGRAPHIC INK AND JELLY,32151110,0.26,-2.14,19.71,27.7,0.01,0.03,-0.41,12.74,-0.87,3.36,KGS
BLACK NEWSPAPER INK,32151120,0,-5.56,2.92,21.69,0,0,-5.56,0,0.24,1.44,KGS
BLACK ROTARY INK,32151130,0.3,1.59,0,-50,0,25,1.97,43.55,-5.56,0,KGS
BLACK SCREEN PRINTING INK,32151140,3.15,0.85,0.58,16.41,5.43,6.01,-0.37,17.34,2.03,9.77,KGS
OTHER BLACK PRINTING INK,32151190,48.91,0.91,16.98,6.2,2.88,2.81,-0.18,13.25,-0.37,3.52,KGS
OTHER LITHOGRAPHIC INK AND JELLY,32151910,0.14,-4.76,72.78,24.59,0,0.01,-2.93,7.49,-0.69,3.78,KGS
OTHER NEWSPAPER INK,32151920,0,-5.56,4.47,21.79,0,0.01,-5.56,0,-0.07,2.13,KGS
OTHER ROTARY INK,32151930,0.18,0.83,0.1,0,1.8,1.63,-1.14,5.46,-1.44,4.69,KGS
OTHER SCREEN PRINTING INK,32151940,9.95,0.94,3.01,7.81,3.31,3.28,-1.65,6.31,1.13,8.55,KGS
OTHR PRTNG INK AND PRINTRS COLRS,32151990,110.02,1.12,106.17,6.71,1.04,0.99,0.03,11.53,-0.41,3.55,KGS
FOUNTAIN PEN INK,32159010,0.59,-0.27,0.6,19.23,0.98,1.29,0.7,5.88,0.76,5.55,KGS
BALL PEN INK,32159020,5.85,-1.39,7.92,1.34,0.74,0.94,-0.87,6.83,-0.07,7.31,KGS
INEDIBLE INK,32159030,0,-5.56,0.96,-30.59,0,0.02,-5.56,0,2.31,226.68,KGS
DRAWING INK,32159040,0.04,-1.63,0.11,0,0.36,1.91,-2.06,9.02,4.39,22.24,KGS
OTHER INK NES,32159090,68.03,-4.62,144.36,-26.33,0.47,1.21,-4.92,5.59,-2.36,182.05,KGS
ESSENTIAL OILS OF ORANGE,33011200,29.15,2.08,0.58,-0.85,50.26,39.47,2.73,18.75,1.36,17.17,KGS
ESSENTIAL OILS OF LEMON,33011300,3.7,0.65,0.51,103,7.25,13.5,1.4,19.74,-0.58,9.43,KGS
CITRONELLA OIL CEYLON TYPE,33011910,0.27,-1.31,0.56,7.93,0.48,0.66,-1.43,15.56,0.66,20.62,KGS
OTHERS,33011990,11.41,6.13,9.83,7.08,1.16,0.78,2.61,71.19,-0.37,25.26,KGS
ESSNTL OIL OF PEPPERMINT(MENTHA PIPERITA),33012400,5.49,-0.12,64.23,2.7,0.09,0.09,0.85,48.83,-0.32,26.63,KGS
SPEARMINT OIL (EX-MENTHA SPICATA),33012510,0.77,-2.42,19.29,11.47,0.04,0.07,143.77,60.16,-0.48,24.6,KGS
WATER-MINT OIL (EX-MENTHA AQUATIC),33012520,0,0,0,0,0,0,0,0,0,0,KGS
HORSEMIN OIL (EX-MENTHA SYLVESTRIES),33012530,0,0,0,-50,0,0,0,0,-5.56,0,KGS
BERGAMONT OIL (EX-MENTHA CITRATE),33012540,0.14,5.56,0.09,-20.65,1.56,0.64,-0.51,44.76,0.14,42.41,KGS
OTHERS,33012590,0.66,-1.54,132.73,1.48,0,0.01,-2.38,11.41,-0.41,13.25,KGS
ANISE OIL (ANISEED OIL),33012911,0.22,1.93,0.56,-13.32,0.39,0.25,0.82,90.09,-0.65,18.34,KGS
CAJUPUT OIL,33012912,0,-5.56,0.11,-5.41,0,0.02,-5.56,0,1.24,21.89,KGS
CANANGA OIL,33012913,0.06,-1.98,0,0,0,0,3.99,89.55,0,0,KGS
CARAWAY OIL,33012914,0.11,5.23,0.16,70,0.69,0.78,0.3,43.84,-1.23,23.62,KGS
CASSIA OIL,33012915,0.38,-0.53,0.09,29.41,4.22,6.31,-0.42,25.42,5.45,29.71,KGS
CEDARWOOD OIL,33012916,1.25,-1.59,0.65,-6.67,1.92,2.24,-1.8,17.88,-0.59,10.59,KGS
CINNAMON BARK OIL,33012917,0.3,1.11,0.34,3.68,0.88,0.81,-0.41,135.44,-1.7,18.07,KGS
CINNAMON LEAF OIL,33012918,1.52,-0.62,0.21,-10.13,7.24,6.65,-0.26,17.87,-1.29,15.66,KGS
CLOVE LEAF/STEM OIL,33012921,18.98,0.28,1.21,-2.61,15.69,14.52,-0.69,10.95,-0.69,14.63,KGS
CORIANDER SEED OIL,33012922,1.85,7.08,2.27,35.77,0.81,0.69,-0.03,66.5,0.05,76,KGS
DILL OIL (ANETHUM OIL),33012923,0.23,-1.25,0.1,5.56,2.3,3.03,-0.33,62.47,-0.24,25.41,KGS
EUCALYPTUS OIL,33012924,8.06,-0.51,4.1,-1.95,1.97,2.05,-1.08,6.97,-0.69,12.34,KGS
FENNEL SEED OIL,33012925,0.03,-1.39,0.08,25,0.38,0.63,3.44,145.63,-1.25,18.6,KGS
GINGER OIL,33012926,1.21,10.45,4.42,-8.87,0.27,0.12,-0.73,55.66,0.95,121.47,KGS
GINGER GRASS OIL,33012927,0,0,0.02,250,0,0,0,0,3.76,39.29,KGS
CLOVE BUD OIL,33012928,0.86,2.93,0.54,3.29,1.59,1.24,0.23,28.52,0.06,27.39,KGS
TUBEROSE CONCRETE,33012931,0,-5.56,2.71,-2.12,0,0.01,-5.56,0,4.93,1047.55,KGS
NUTMEG OIL,33012932,2.29,-0.12,4.12,2.15,0.56,0.58,-0.01,52.56,-0.41,43.81,KGS
PALMAROSA OIL,33012933,0.02,27.78,1.08,-14.94,0.02,0.01,5.89,44.94,0.65,34.81,KGS
PATCHOULI OIL,33012934,69.2,5.45,1.18,42.67,58.64,56.32,9.31,110.72,3.64,100.56,KGS
PEPPER OIL,33012935,1.26,4.21,7.01,26.7,0.18,0.16,-0.15,30.06,-0.23,38.43,KGS
PETITGRAIN OIL,33012936,0.57,-0.03,0.02,0,28.5,114.5,0.09,66.8,21.04,68.03,KGS
SANDAL WOOD OIL,33012937,15.27,0.43,1.84,20.23,8.3,10.01,-0.15,702.33,2.19,694.08,KGS
ROSA OIL,33012938,1.92,-4.9,0.39,-48.24,4.92,1.49,15.36,3368.42,-4.44,82.16,KGS
CAMPHOS OIL,33012941,0.12,-4.9,0.19,-28.41,0.63,2.11,-3.26,40.55,-3.21,11.45,KGS
LEMON GRASS OIL,33012942,2.39,9.94,8.1,-10.27,0.3,0.13,-0.27,31.11,-1.05,16.16,KGS
